,时间,标题,股票代码,问询函类型,文件地址
645,2020-07-08 17:10:05,关于大唐电信科技股份有限公司的重大资产重组预案审核意见函,600198,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139522231857246.pdf
646,2020-07-07 19:30:05,关于对广东文灿压铸股份有限公司重大资产购买报告书（草案）信息披露的问询函,603348,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139522231827471.pdf
647,2020-07-03 20:20:04,关于大连圣亚旅游控股股份有限公司的问询函,600593,问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8139478405773707.pdf
648,2020-07-03 20:10:05,关于新疆同济堂健康产业股份有限公司的定期报告信息披露监管问询函,600090,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139478405773048.pdf
649,2020-07-03 17:50:05,关于国美通讯设备股份有限公司的重大资产重组预案审核意见函,600898,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139478405742413.pdf
650,2020-07-03 17:10:27,关于吉林森林工业股份有限公司的定期报告信息披露监管问询函,600189,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139478405635808.pdf
651,2020-07-01 17:10:04,关于东方金钰股份有限公司的定期报告信息披露监管问询函,600086,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139478405260350.pdf
652,2020-06-29 17:10:04,关于对上海益民商业集团股份有限公司重大资产重组预案的信息披露问询函,600824,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139461146767937.pdf
653,2020-06-23 20:30:03,关于中珠医疗控股股份有限公司的问询函,600568,问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8139400062104802.pdf
654,2020-06-22 21:50:03,关于对宁波杉杉股份有限公司重大资产购买预案信息披露的问询函,600884,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139400061923349.pdf
655,2020-06-21 17:10:03,关于天士力医药集团股份有限公司的重大资产重组预案审核意见函,600535,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139400061723612.pdf
656,2020-06-19 17:40:03,关于中珠医疗控股股份有限公司的定期报告信息披露监管问询函,600568,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139338977915329.pdf
657,2020-06-18 18:40:02,关于对东风电子科技股份有限公司发行股份购买资产暨关联交易预案信息披露的问询函,600081,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139338977774865.pdf
658,2020-06-18 17:10:24,关于太原狮头水泥股份有限公司的重大资产重组报告书审核意见函,600539,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139338977633584.pdf
659,2020-06-17 19:20:03,关于熊猫金控股份有限公司的定期报告信息披露监管问询函,600599,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139338977607967.pdf
660,2020-06-17 19:10:02,关于杭州天目山药业股份有限公司的定期报告信息披露监管问询函,600671,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139338977606385.pdf
661,2020-06-17 17:10:02,关于中储发展股份有限公司的定期报告信息披露监管问询函,600787,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139338977403712.pdf
662,2020-06-16 17:30:02,关于对厦门华侨电子股份有限公司对外投资相关事项的问询函,600870,问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8139338977410833.pdf
663,2020-06-15 21:40:02,关于商赢环球股份有限公司关联交易事项的问询函,600146,问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8139338977295932.pdf
664,2020-06-15 17:10:02,关于超讯通信股份有限公司的定期报告信息披露监管问询函,603322,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139338977196851.pdf
665,2020-06-14 17:30:02,关于浙大网新科技股份有限公司的定期报告信息披露监管问询函,600797,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139338977123752.pdf
666,2020-06-12 22:10:02,关于青海华鼎实业股份有限公司的问询函,600243,问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8139277892909726.pdf
667,2020-06-12 18:10:01,关于沈阳商业城股份有限公司重大资产出售及发行股份购买资产暨关联交易预案信息披露的问询函,600306,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139277892865783.pdf
668,2020-06-12 18:00:02,关于北京航天长峰股份有限公司的定期报告信息披露监管问询函,600855,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892863629.pdf
669,2020-06-12 17:30:04,关于万向德农股份有限公司2019年年度报告的信息披露监管问询函,600371,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892840888.pdf
